rand_num ,joint_distance_sum,ee_distance_sum,k,lambda1,lambda2,time,waypoint_num
100,686.9957684,384.5750143,100,0.5,0.5,0.388683558
300,536.260390672153,269.84750040391737,100,0.5,0.5,2.190885305404663
500,458.22912062338116,248.4763031772864,100,0.5,0.5,5.370093584060669
700,424.80036701721247,261.42030989098726,100,0.5,0.5,10.55842661857605
900,367.75935380123605,274.80565493284917,100,0.5,0.5,17.110378742218018
1100,367.75935380123605,274.80565493284917,100,0.5,0.5,26.505290985107422
1500,358.8118229958398,281.97418900003964,100,0.5,0.5,60.775846004486084
2000,335.6531096949539,287.6419921297388,100,0.5,0.5,121.02101707458496

100,378.24680977953307,272.61784504992823,150,0.5,0.5,0.7451961040496826
500,308.29214394084,238.56882705801934,150,0.5,0.5,11.7120201587677
1000,308.29214394084,238.56882705801934,150,0.5,0.5,60.90636897087097
1500,266.39082921709416,253.25617298425425,150,0.5,0.5,190.70570492744446
2000,266.39082921709416,253.25617298425425,150,0.5,0.5,434.542950630188
2000,437.60811496706714,307.37661464786026,50,0.5,0.5,33.969781160354614
1500,462.36985788050225,321.1536408786655,50,0.5,0.5,19.44145655632019
1000,466.692382110274,386.51808909211536,50,0.5,0.5,8.440829753875732
500,189.73665961010275,237.81601586248834,50,0.5,0.5,2.396515130996704
500,690.4991047344909,263.6490752397166,50,0.1,0.9,4.484827041625977,

500,252.1362677506658,244.17492836952286,275.0,0.1,0.9,42.83988571166992,
500,369.25852225471874,243.38973230440544,275.0,0.1,0.9,30.337523460388184,3
500,369.25852225471874,243.38973230440544,475.0,0.1,0.9,30.460611581802368,3
1000,646.7001845489331,257.26048835153523,47.5,0.1,0.9,12.412958860397339,o
