rand_num ,joint_distance_sum , ee_distance_sum , k, lambda1, lambda2,time,len(short_path),available_value,,,,,,,,,,,,
500,366.988902,355.2449867,150,0.5,0.5,3.741084814,5,o,,366.98,355.24,3.74,,,,,,,3.741084814,
1000,344.1333638,329.2280325,150,0.5,0.5,14.62796664,5,o,,344.13,329.22,14.62,,,,,,,14.62796664,
1500,396.62677,255.9211631,150,0.5,0.5,45.04670024,5,o,,396.62,255.92,45.04,,,,,,,45.04670024,
,,,,,,,,,,0,0,0,,,,,479.4401706,322.9072754,7.262907457,7.262907457
100,189.7366596,237.8160159,50,0.7,0.3,0.109529734,2,x,,189.73,237.81,0.1,,,,,437.7905844,372.8280822,0.109529734,
300,189.7366596,237.8160159,50,0.7,0.3,0.479590416,2,x,,189.73,237.81,0.47,,,,,405.4021316,346.5548292,0.479590416,
500,189.7366596,237.8160159,50,0.7,0.3,1.071845531,2,x,,189.73,237.81,1.07,,,,,529.3972228,317.7521892,1.071845531,
1000,189.7366596,237.8160159,50,0.7,0.3,3.505702496,2,x,,189.73,237.81,3.5,,,,,432.7737706,314.970831,3.505702496,
1500,189.7366596,237.8160159,50,0.7,0.3,8.351401567,2,x,,189.73,237.81,8.35,,,,,344.9320165,342.6462914,8.351401567,
,,,,,,,,,,0,0,0,,,,,347.8012849,333.7028135,0.155487537,
100,189.7366596,237.8160159,100,0.7,0.3,0.155487537,2,x,,189.73,237.81,0.15,,,,,,,0.701042175,
300,189.7366596,237.8160159,100,0.7,0.3,0.701042175,2,x,,189.73,237.81,0.7,,,,,,,1.593924046,
500,189.7366596,237.8160159,100,0.7,0.3,1.593924046,2,x,,189.73,237.81,1.59,,,,,,,5.498757601,
1000,437.7905844,372.8280822,100,0.7,0.3,5.498757601,10,o,,437.79,372.82,5.49,,,,,,,13.10933399,
1500,405.4021316,346.5548292,100,0.7,0.3,13.10933399,10,o,,405.4,346.55,13.1,,,,,,,0.194538116,
,,,,,,,,,,0,0,0,,,,,,,1.075578213,
100,189.7366596,237.8160159,150,0.7,0.3,0.194538116,2,x,,189.73,237.81,0.19,,,,,,,2.423370123,
300,529.3972228,317.7521892,150,0.7,0.3,1.075578213,7,o,,529.39,317.75,1.07,,,,,,,9.275663137,
500,432.7737706,314.970831,150,0.7,0.3,2.423370123,6,o,,432.77,314.97,2.42,,,,,,,23.53530431,
1000,344.9320165,342.6462914,150,0.7,0.3,9.275663137,6,o,,344.93,342.64,9.27,,,,,,,,
1500,347.8012849,333.7028135,150,0.7,0.3,23.53530431,6,o,,347.8,333.7,23.53,,,,,,,,
,,,,,,,,,,0,0,0,,,,,416.3495018,338.0758394,4.738737933,4.738737933
100,189.7366596,237.8160159,50,0.9,0.1,0.098961592,2,x,,189.73,237.81,0.09,,,,,559.372075,488.9285058,0.098961592,
300,189.7366596,237.8160159,50,0.9,0.1,0.454889774,2,x,,189.73,237.81,0.45,,,,,449.6310946,438.1850659,0.454889774,
500,189.7366596,237.8160159,50,0.9,0.1,0.985737562,2,x,,189.73,237.81,0.98,,,,,620.7912703,411.4466852,0.985737562,
1000,189.7366596,237.8160159,50,0.9,0.1,3.329894543,2,x,,189.73,237.81,3.32,,,,,594.3645878,338.041446,3.329894543,
1500,189.7366596,237.8160159,50,0.9,0.1,7.892930031,2,x,,189.73,237.81,7.89,,,,,362.7742195,342.9807862,7.892930031,
,,,,,,,,,,0,0,0,,,,,356.2145165,320.0742346,0.123631477,
100,189.7366596,237.8160159,100,0.9,0.1,0.123631477,2,x,,189.73,237.81,0.12,,,,,,,0.596790552,
300,189.7366596,237.8160159,100,0.9,0.1,0.596790552,2,x,,189.73,237.81,0.59,,,,,,,1.257427692,
500,189.7366596,237.8160159,100,0.9,0.1,1.257427692,2,x,,189.73,237.81,1.25,,,,,,,4.298308611,
1000,559.372075,488.9285058,100,0.9,0.1,4.298308611,14,o,,559.37,488.92,4.29,,,,,,,9.991776943,
1500,449.6310946,438.1850659,100,0.9,0.1,9.991776943,11,o,,449.63,438.18,9.99,,,,,,,0.15248847,
,,,,,,,,,,0,0,0,,,,,,,0.77793932,
100,189.7366596,237.8160159,150,0.9,0.1,0.15248847,2,x,,189.73,237.81,0.15,,,,,,,1.798706293,
300,620.7912703,411.4466852,150,0.9,0.1,0.77793932,10,o,,620.79,411.44,0.77,,,,,,,6.710855484,
500,594.3645878,338.041446,150,0.9,0.1,1.798706293,11,o,,594.36,338.04,1.79,,,,,,,15.85113263,
1000,362.7742195,342.9807862,150,0.9,0.1,6.710855484,7,o,,362.77,342.98,6.71,,,,,,,,
1500,356.2145165,320.0742346,150,0.9,0.1,15.85113263,6,o,,356.21,320.07,15.85,,,,,,,,
,,,,,,,,,,,,,,,,,490.5246273,389.9427873,3.621431398,3.621431398
